Survived,Pclass,Sex,Age,SibSp,Parch,Age_nan,Cabin_status,Embarked_nan,family_size,alone,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Others,Age_scaled,Fare_log_scaled
0,3,0,22.0,1,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5348911628688886,-0.8797405693934278
1,1,1,38.0,1,0,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6683917564561223,1.3612199269233833
1,3,1,26.0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.23407043303763592,-0.798539974052802
1,1,1,35.0,1,0,0,1,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4427762090826827,1.0620380556287106
0,3,0,35.0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4427762090826827,-0.7841792430073967
0,3,0,25.0,0,0,1,0,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3092756154954491,-0.7386163019798164
0,1,0,54.0,0,0,0,1,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.8716746757811333,1.038145562232327
0,3,0,2.0,3,1,0,0,0,4,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.038994812025152,0.1364991380659541
1,3,1,27.0,0,2,0,0,0,3,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.15886525057982273,-0.48145578049281335
1,2,1,14.0,1,0,0,0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.136532622531394,0.4894379098126231
1,3,1,4.0,1,1,0,1,0,2,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.8885844471095259,-0.09156500424402261
1,1,1,58.0,0,0,0,1,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.172495405612386,0.36526093570402607
0,3,0,20.0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.685301527784515,-0.7841792430073967
0,3,0,39.0,1,5,0,0,0,7,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7435969389139355,0.5286989276421437
0,3,1,14.0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.136532622531394,-0.806763380796033
1,2,1,55.0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9468798582389464,-0.13322852057373055
0,3,0,2.0,4,1,0,0,0,5,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.038994812025152,0.457519539438721
1,2,0,30.0,0,0,1,0,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.06675029679361683,-0.3336984726090336
0,3,1,31.0,1,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.14195547925143,-0.01838583697289204
1,3,1,21.5,0,0,1,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5724937540977952,-0.8828741679067217
0,2,0,35.0,0,0,0,0,0,2,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4427762090826827,0.3444394801955362
1,2,0,34.0,0,0,0,1,0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.36757102662486957,-0.3336984726090336
